customer_id,monthly_spend,contract_length_months,support_tickets,feature_usage_score,days_since_last_login,price_sensitivity_score,competitor_engagement,churn
C005472,493.39,12,2,0.45,78,0.697,0.473,1
C005473,445.79,12,6,0.74,84,0.324,0.372,1
C005474,580.63,24,2,0.741,9,0.697,0.182,0
C005475,2463.63,12,2,0.542,24,0.766,0.363,0
C005476,574.42,3,2,0.462,41,0.373,0.259,1
C005477,654.69,12,1,0.524,14,0.345,0.101,0
C005478,452.21,24,1,0.47,12,0.509,0.269,0
C005479,1602.29,12,4,0.487,25,0.393,0.312,0
C005480,3190.3,12,1,0.33,13,0.558,0.423,1
C005481,953.83,12,1,0.127,17,0.235,0.63,0
C005482,710.68,24,2,0.388,12,0.26,0.392,0
C005483,685.01,24,4,0.622,26,0.49,0.105,0
C005484,98.75,12,5,0.773,37,0.554,0.382,0
C005485,1207.27,6,4,0.122,12,0.178,0.191,0
C005486,740.51,12,0,0.474,13,0.106,0.342,1
C005487,936.99,12,2,0.756,51,0.52,0.172,1
C005488,376.47,24,3,0.088,16,0.311,0.605,0
C005489,489.04,3,3,0.784,12,0.771,0.312,0
C005490,478.75,12,4,0.607,70,0.523,0.042,1
C005491,1506.13,24,1,0.946,1,0.392,0.446,0
C005492,491.27,12,4,0.138,19,0.378,0.154,0
C005493,3519.69,24,2,0.316,0,0.358,0.272,0
C005494,938.88,24,3,0.355,11,0.394,0.748,0
C005495,239.72,24,3,0.495,7,0.654,0.043,0
C005496,600.14,12,2,0.301,11,0.403,0.132,0
C005497,394.91,12,3,0.638,46,0.673,0.536,1
C005498,114.95,36,3,0.193,14,0.421,0.21,0
C005499,2391.26,12,5,0.083,17,0.286,0.193,0
C005500,1167.38,6,1,0.403,7,0.034,0.044,0
C005501,1018.99,6,4,0.832,84,0.379,0.211,0
C005502,759.24,12,3,0.727,73,0.231,0.191,1
C005503,220.17,36,6,0.558,41,0.201,0.227,0
C005504,451.74,6,2,0.475,24,0.52,0.094,1
C005505,1304.3,3,3,0.376,11,0.647,0.223,0
C005506,286.87,24,2,0.523,2,0.685,0.039,0
C005507,87.76,36,3,0.779,47,0.445,0.022,0
C005508,554.64,6,5,0.58,15,0.442,0.462,0
C005509,593.83,12,2,0.323,16,0.55,0.283,0
C005510,741.33,12,4,0.343,2,0.305,0.167,0
C005511,1191.32,12,2,0.437,31,0.471,0.531,1
C005512,1107.75,24,0,0.178,16,0.307,0.043,0
C005513,818.13,6,2,0.741,5,0.492,0.274,0
C005514,1730.95,3,5,0.172,3,0.085,0.285,0
C005515,197.32,6,1,0.186,19,0.511,0.023,0
C005516,995.92,6,1,0.682,39,0.279,0.324,0
C005517,1097.98,6,5,0.18,14,0.321,0.193,0
C005518,246.74,3,6,0.615,39,0.41,0.114,0
C005519,199.88,24,3,0.163,4,0.355,0.275,0
C005520,366.22,6,4,0.272,16,0.526,0.327,1
C005521,391.81,36,4,0.575,11,0.177,0.295,0
C005522,1215.29,12,3,0.153,7,0.214,0.554,0
C005523,406.82,12,2,0.787,2,0.528,0.13,0
C005524,335.26,6,4,0.275,4,0.765,0.093,0
C005525,407.77,6,4,0.327,43,0.269,0.283,0
C005526,1627.67,12,4,0.357,8,0.277,0.11,0
C005527,672.12,12,4,0.508,39,0.443,0.201,0
C005528,576.28,24,1,0.329,33,0.739,0.405,0
C005529,609.11,24,2,0.77,7,0.773,0.284,0
C005530,1869.92,12,3,0.355,13,0.589,0.088,0
C005531,365.28,12,13,0.511,12,0.169,0.171,0
C005532,1905.32,24,4,0.205,45,0.492,0.101,1
C005533,787.13,12,1,0.345,19,0.347,0.512,1
C005534,585.03,36,0,0.862,11,0.12,0.077,0
C005535,4918.31,24,2,0.781,14,0.339,0.332,0
C005536,285.86,3,5,0.825,36,0.581,0.406,1
C005537,501.22,12,3,0.359,7,0.216,0.227,0
C005538,248.16,12,3,0.581,10,0.572,0.508,0
C005539,1425.06,24,2,0.585,2,0.599,0.117,0
C005540,2569.2,12,4,0.766,16,0.741,0.077,0
C005541,2529.91,24,3,0.24,70,0.026,0.427,0
C005542,1770.75,6,4,0.302,8,0.587,0.142,0
C005543,567.88,6,1,0.501,56,0.321,0.314,1
C005544,496.61,3,4,0.442,32,0.583,0.128,0
C005545,174.7,12,2,0.586,31,0.694,0.422,0
C005546,3390.39,12,3,0.746,27,0.184,0.523,0
C005547,967.95,12,4,0.646,28,0.604,0.092,0
C005548,448.74,12,2,0.217,8,0.606,0.562,1
C005549,1924.55,3,1,0.571,35,0.843,0.102,0
C005550,305.45,3,4,0.494,72,0.372,0.165,1
C005551,920.85,24,3,0.046,2,0.78,0.564,1
C005552,579.34,12,1,0.755,2,0.258,0.129,0
C005553,1108.7,12,4,0.16,0,0.402,0.273,0
C005554,632.16,24,2,0.718,24,0.813,0.427,1
C005555,208.36,24,4,0.522,1,0.234,0.233,0
C005556,706.6,6,1,0.538,14,0.212,0.478,0
C005557,1539.31,12,6,0.671,23,0.432,0.331,0
C005558,649.78,24,6,0.159,18,0.269,0.138,0
C005559,1236.56,24,2,0.875,18,0.561,0.238,0
C005560,288.18,24,2,0.4,65,0.207,0.205,1
C005561,651.31,6,1,0.388,7,0.271,0.43,0
C005562,403.59,6,3,0.444,19,0.308,0.192,1
C005563,1209.04,12,6,0.195,19,0.198,0.523,0
C005564,682.11,24,1,0.807,6,0.555,0.099,0
C005565,1155.23,12,3,0.466,7,0.652,0.196,0
C005566,1587.9,6,0,0.598,27,0.475,0.078,1
C005567,1156.66,24,3,0.531,7,0.44,0.161,0
C005568,827.57,6,1,0.27,5,0.576,0.404,1
C005569,299.3,6,3,0.597,82,0.27,0.427,0
C005570,663.66,6,2,0.621,1,0.214,0.627,0
C005571,434.21,12,6,0.849,7,0.643,0.527,1
C005572,505.1,12,3,0.244,36,0.343,0.249,1
C005573,492.93,12,3,0.697,4,0.385,0.21,0
C005574,303.71,3,4,0.351,5,0.141,0.065,1
C005575,138.95,3,3,0.185,3,0.129,0.211,1
C005576,389.74,6,3,0.275,17,0.158,0.16,0
C005577,776.43,12,1,0.353,0,0.458,0.185,1
C005578,226.21,3,5,0.496,41,0.389,0.454,0
C005579,673.54,12,3,0.436,9,0.226,0.258,0
C005580,3041.83,6,5,0.331,13,0.286,0.068,1
C005581,1507.86,6,5,0.869,5,0.358,0.437,0
C005582,2477.07,6,2,0.737,0,0.272,0.121,0
C005583,909.51,3,2,0.678,65,0.132,0.482,1
C005584,1692.58,12,2,0.355,42,0.395,0.629,0
C005585,372.72,12,4,0.421,6,0.368,0.407,0
C005586,397.23,24,3,0.513,2,0.362,0.308,0
C005587,74.34,3,2,0.494,11,0.307,0.106,0
C005588,1718.0,6,5,0.572,15,0.225,0.201,0
C005589,2280.75,12,2,0.521,16,0.656,0.545,1
C005590,427.29,24,4,0.754,49,0.394,0.199,0
C005591,542.85,12,6,0.385,22,0.578,0.73,1
C005592,363.91,12,3,0.318,19,0.767,0.329,0
C005593,903.36,12,4,0.308,1,0.025,0.684,0
C005594,1635.9,3,2,0.627,14,0.339,0.323,0
C005595,164.97,36,4,0.353,16,0.463,0.444,0
C005596,922.93,12,1,0.103,19,0.289,0.122,0
C005597,533.08,24,1,0.904,3,0.194,0.213,0
C005598,728.3,12,2,0.489,64,0.108,0.06,1
C005599,960.25,12,5,0.52,16,0.479,0.239,0
C005600,572.17,3,1,0.665,10,0.611,0.123,0
C005601,612.24,12,3,0.846,21,0.224,0.31,0
C005602,560.54,6,2,0.349,3,0.379,0.177,0
C005603,1445.56,12,5,0.426,11,0.279,0.516,0
C005604,929.84,12,4,0.738,25,0.503,0.327,0
C005605,793.51,24,3,0.661,56,0.342,0.314,1
C005606,240.62,12,6,0.449,11,0.178,0.183,0
C005607,491.34,12,3,0.924,19,0.542,0.221,0
C005608,1365.03,6,4,0.218,11,0.11,0.519,0
C005609,685.51,12,3,0.093,14,0.495,0.368,1
C005610,1127.35,3,3,0.642,13,0.455,0.182,0
C005611,2733.15,24,1,0.565,23,0.407,0.266,1
C005612,1526.73,36,2,0.21,21,0.52,0.196,1
C005613,716.61,6,5,0.502,0,0.16,0.24,0
C005614,441.96,3,2,0.603,1,0.534,0.224,1
C005615,86.24,12,5,0.213,28,0.337,0.426,1
C005616,581.31,24,6,0.495,3,0.323,0.236,0
C005617,512.44,12,3,0.716,29,0.573,0.411,0
C005618,908.95,3,2,0.622,33,0.295,0.195,0
C005619,588.09,36,2,0.525,54,0.233,0.122,0
C005620,514.76,24,3,0.434,33,0.096,0.03,0
C005621,160.21,6,4,0.501,15,0.089,0.269,0
C005622,313.57,36,1,0.331,4,0.58,0.311,0
C005623,973.91,12,4,0.689,2,0.587,0.285,0
C005624,2624.71,12,2,0.52,41,0.606,0.492,1
C005625,615.22,12,3,0.675,9,0.554,0.337,0
C005626,864.58,24,0,0.615,1,0.069,0.439,0
C005627,1425.08,12,3,0.684,8,0.353,0.114,0
C005628,347.68,3,5,0.643,40,0.436,0.595,1
C005629,891.99,36,2,0.75,16,0.653,0.226,0
C005630,367.83,6,6,0.174,20,0.504,0.442,1
C005631,1328.57,24,3,0.681,5,0.237,0.581,0
C005632,750.79,12,0,0.68,0,0.335,0.193,0
C005633,844.51,6,2,0.974,49,0.154,0.194,0
C005634,355.64,6,1,0.53,1,0.575,0.151,0
C005635,1171.01,24,8,0.222,144,0.234,0.644,1
C005636,3525.47,12,4,0.478,40,0.673,0.15,0
C005637,296.98,12,3,0.045,2,0.084,0.089,0
C005638,506.84,12,4,0.258,146,0.247,0.365,1
C005639,800.54,24,3,0.577,33,0.25,0.143,0
C005640,1247.78,12,4,0.779,37,0.79,0.117,0
C005641,425.12,6,5,0.275,33,0.21,0.29,1
C005642,68.96,12,5,0.135,52,0.516,0.143,1
C005643,1973.08,24,2,0.823,28,0.591,0.294,1
C005644,1222.2,12,2,0.514,14,0.146,0.189,0
C005645,164.95,6,4,0.501,0,0.506,0.108,0
C005646,409.09,36,4,0.057,6,0.129,0.228,0
C005647,2332.15,24,6,0.591,18,0.734,0.234,0
C005648,2118.02,3,5,0.364,7,0.474,0.185,0
C005649,1409.39,36,2,0.534,10,0.526,0.054,0
C005650,577.73,12,5,0.854,2,0.627,0.376,0
C005651,710.8,6,2,0.142,78,0.159,0.08,1
C005652,599.0,6,5,0.322,2,0.557,0.242,0
C005653,1640.23,12,6,0.784,1,0.566,0.206,0
C005654,330.08,24,4,0.45,17,0.512,0.211,1
C005655,349.1,6,3,0.367,19,0.395,0.16,0
C005656,1492.52,6,4,0.619,14,0.937,0.23,1
C005657,641.95,12,2,0.967,8,0.582,0.131,0
C005658,2003.75,12,4,0.471,51,0.202,0.479,0
C005659,388.69,6,2,0.742,8,0.335,0.222,0
C005660,636.62,6,2,0.917,7,0.424,0.07,0
C005661,318.01,12,5,0.245,58,0.504,0.26,1
C005662,669.07,24,2,0.371,43,0.42,0.235,0
C005663,203.8,12,5,0.803,12,0.481,0.338,0
C005664,450.29,12,4,0.408,6,0.172,0.745,0
C005665,210.82,12,1,0.42,2,0.461,0.221,0
C005666,1158.8,12,2,0.081,32,0.305,0.383,0
C005667,1180.0,36,9,0.721,25,0.315,0.286,0
C005668,166.63,24,4,0.924,2,0.617,0.296,0
C005669,1933.54,6,5,0.636,26,0.453,0.406,1
C005670,4904.62,12,3,0.236,45,0.147,0.425,0
C005671,690.08,12,3,0.612,1,0.507,0.128,0
C005672,398.26,12,4,0.371,10,0.561,0.332,1
C005673,6370.7,12,3,0.365,10,0.31,0.347,0
C005674,231.56,24,2,0.662,33,0.555,0.302,0
C005675,675.93,24,4,0.292,2,0.355,0.149,0
C005676,767.93,12,2,0.872,3,0.428,0.399,1
C005677,1951.04,24,8,0.455,9,0.017,0.162,0
C005678,886.95,24,1,0.814,38,0.407,0.383,0
C005679,446.35,24,4,0.749,86,0.125,0.364,0
C005680,310.77,36,5,0.163,15,0.246,0.434,1
C005681,506.0,6,1,0.584,3,0.53,0.222,0
C005682,297.22,6,1,0.518,46,0.249,0.572,0
C005683,691.08,24,3,0.603,3,0.617,0.223,0
C005684,423.54,24,2,0.369,9,0.227,0.298,0
C005685,201.29,36,4,0.223,26,0.611,0.321,0
C005686,1815.5,3,4,0.709,1,0.543,0.551,0
C005687,446.69,12,0,0.286,13,0.439,0.553,0
C005688,241.17,6,2,0.771,10,0.382,0.298,0
C005689,581.37,12,5,0.488,58,0.516,0.098,0
C005690,702.54,6,4,0.844,15,0.564,0.467,0
C005691,164.49,6,2,0.557,43,0.742,0.293,0
C005692,867.24,3,2,0.323,1,0.05,0.286,0
C005693,287.8,12,3,0.505,16,0.286,0.195,0
C005694,2614.49,12,2,0.456,23,0.706,0.343,0
C005695,1011.48,6,3,0.863,3,0.436,0.279,0
C005696,483.03,12,3,0.911,37,0.436,0.256,1
C005697,366.45,6,2,0.651,42,0.561,0.243,0
C005698,611.57,36,4,0.46,22,0.323,0.237,0
C005699,1085.97,12,0,0.901,14,0.192,0.149,0
C005700,651.71,12,3,0.305,23,0.439,0.186,0
C005701,559.07,24,2,0.454,6,0.267,0.116,0
C005702,696.94,12,1,0.601,2,0.291,0.065,0
C005703,410.31,24,6,0.561,16,0.186,0.351,0
C005704,505.44,12,3,0.741,13,0.718,0.153,0
C005705,125.38,36,2,0.913,11,0.836,0.279,0
C005706,1449.51,6,2,0.374,4,0.551,0.544,1
C005707,844.75,36,1,0.05,4,0.237,0.132,0
C005708,358.25,24,2,0.557,84,0.495,0.237,0
C005709,3038.1,12,3,0.395,52,0.039,0.067,0
C005710,713.09,12,3,0.395,5,0.292,0.178,0
C005711,290.35,12,4,0.302,1,0.257,0.25,0
C005712,1320.0,3,2,0.855,7,0.563,0.466,0
C005713,914.56,6,1,0.318,37,0.775,0.129,0
C005714,912.02,36,0,0.562,5,0.597,0.099,0
C005715,473.14,12,4,0.655,82,0.448,0.086,0
C005716,953.75,12,3,0.586,4,0.323,0.1,0
C005717,539.47,24,2,0.459,16,0.595,0.618,0
C005718,1037.69,12,1,0.068,97,0.492,0.153,1
C005719,144.9,3,2,0.127,2,0.252,0.722,1
C005720,470.08,24,4,0.489,4,0.638,0.58,0
C005721,2637.86,24,1,0.764,17,0.121,0.243,0
C005722,360.09,6,6,0.86,31,0.224,0.222,1
C005723,410.32,36,2,0.146,24,0.739,0.179,1
C005724,464.81,6,6,0.558,17,0.385,0.302,0
C005725,251.68,12,5,0.431,11,0.41,0.036,1
C005726,113.68,6,6,0.681,30,0.445,0.338,0
C005727,553.1,12,2,0.446,3,0.341,0.178,0
C005728,741.51,12,5,0.633,5,0.301,0.305,1
C005729,637.78,12,4,0.012,31,0.145,0.206,1
C005730,592.35,24,3,0.845,6,0.093,0.542,0
C005731,688.44,3,1,0.104,2,0.172,0.649,0
C005732,1507.6,24,1,0.882,37,0.002,0.41,0
C005733,571.14,12,2,0.151,29,0.284,0.129,0
C005734,420.2,36,2,0.313,20,0.084,0.236,0
C005735,531.18,12,3,0.757,21,0.333,0.125,0
C005736,1057.3,3,4,0.736,21,0.31,0.156,0
C005737,2058.27,3,2,0.667,26,0.321,0.512,1
C005738,402.42,24,1,0.863,7,0.904,0.504,0
C005739,719.92,24,3,0.847,40,0.376,0.441,0
C005740,871.91,12,1,0.729,6,0.624,0.226,1
C005741,300.65,12,5,0.394,10,0.113,0.284,0
C005742,676.1,12,2,0.385,14,0.653,0.209,0
C005743,205.91,36,2,0.593,32,0.47,0.214,0
C005744,161.54,36,2,0.491,11,0.078,0.196,0
C005745,891.94,36,1,0.647,14,0.31,0.492,0
C005746,489.26,24,4,0.631,38,0.006,0.418,1
C005747,781.98,36,3,0.307,164,0.434,0.387,1
C005748,655.69,6,4,0.265,31,0.683,0.388,1
C005749,304.56,24,7,0.487,7,0.185,0.059,0
C005750,641.49,24,2,0.478,2,0.123,0.266,0
C005751,248.02,36,6,0.634,23,0.17,0.081,0
C005752,2023.89,12,3,0.573,23,0.196,0.386,1
C005753,224.8,3,2,0.241,13,0.382,0.101,0
C005754,568.71,12,1,0.313,25,0.171,0.234,0
C005755,288.93,12,5,0.515,1,0.64,0.31,0
C005756,1049.78,6,2,0.288,103,0.563,0.407,1
C005757,510.23,12,4,0.576,13,0.702,0.398,0
C005758,439.25,12,4,0.579,16,0.313,0.251,0
C005759,1316.28,12,4,0.315,15,0.596,0.235,0
C005760,680.99,12,2,0.939,15,0.457,0.394,0
C005761,1005.58,6,1,0.358,30,0.158,0.151,0
C005762,303.37,36,4,0.832,1,0.39,0.24,0
C005763,216.19,24,2,0.532,50,0.357,0.191,1
C005764,724.71,3,7,0.806,8,0.246,0.243,0
C005765,515.39,24,4,0.544,19,0.521,0.494,0
C005766,1097.89,24,3,0.561,1,0.245,0.763,0
C005767,623.95,3,6,0.689,13,0.43,0.249,0
C005768,783.73,12,4,0.719,33,0.258,0.081,0
C005769,181.51,12,3,0.622,7,0.507,0.238,0
C005770,3013.17,12,5,0.376,8,0.141,0.256,1
C005771,583.24,24,2,0.745,20,0.388,0.557,1
C005772,1162.2,12,5,0.887,1,0.83,0.071,0
C005773,340.74,6,2,0.179,9,0.524,0.25,1
C005774,851.0,36,2,0.76,30,0.355,0.329,0
C005775,234.56,6,1,0.713,22,0.177,0.092,0
C005776,954.95,24,4,0.572,15,0.743,0.349,0
C005777,500.31,6,4,0.7,17,0.609,0.236,0
C005778,680.86,12,3,0.742,5,0.441,0.407,0
C005779,1162.56,12,2,0.089,58,0.166,0.271,1
C005780,248.13,6,4,0.221,112,0.58,0.479,1
C005781,384.68,12,2,0.831,3,0.247,0.278,0
C005782,958.97,6,2,0.76,1,0.658,0.271,0
C005783,3563.78,12,1,0.672,3,0.139,0.327,0
C005784,595.58,12,1,0.192,7,0.23,0.169,0
C005785,1067.32,3,0,0.646,24,0.351,0.497,1
C005786,610.59,24,2,0.733,15,0.436,0.282,0
C005787,3145.71,6,5,0.809,1,0.346,0.543,0
C005788,164.39,6,4,0.309,13,0.256,0.085,0
C005789,717.45,12,1,0.598,18,0.324,0.138,0
C005790,181.19,12,1,0.48,2,0.309,0.171,0
C005791,89.55,12,4,0.161,1,0.375,0.245,1
C005792,843.85,6,3,0.805,10,0.107,0.104,0
C005793,743.67,24,5,0.765,29,0.507,0.14,0
C005794,529.6,12,3,0.609,3,0.474,0.76,1
C005795,610.97,6,4,0.215,2,0.414,0.175,1
C005796,7931.83,12,3,0.494,36,0.281,0.379,0
C005797,541.02,24,1,0.292,5,0.456,0.517,0
C005798,1000.34,12,2,0.412,2,0.051,0.33,0
C005799,395.64,6,2,0.428,47,0.361,0.408,0
C005800,842.34,12,5,0.46,9,0.568,0.225,0
C005801,549.72,6,4,0.49,10,0.248,0.293,0
C005802,478.94,12,1,0.221,69,0.76,0.302,1
C005803,2850.13,24,4,0.187,24,0.35,0.148,0
C005804,1705.73,12,2,0.175,48,0.657,0.449,0
C005805,742.04,12,10,0.666,7,0.627,0.077,0
C005806,105.28,36,2,0.167,18,0.326,0.057,0
C005807,498.3,12,2,0.53,12,0.293,0.546,0
C005808,5781.52,12,0,0.404,138,0.569,0.165,1
C005809,553.06,6,2,0.354,13,0.377,0.264,0
C005810,1607.72,12,3,0.833,23,0.15,0.37,0
C005811,2108.12,12,6,0.33,4,0.127,0.287,0
C005812,792.48,12,2,0.509,3,0.39,0.267,0
C005813,339.18,36,8,0.953,2,0.434,0.164,0
C005814,94.8,24,1,0.272,16,0.336,0.144,0
C005815,1149.79,24,4,0.848,41,0.366,0.153,0
C005816,346.61,12,3,0.421,41,0.203,0.372,0
C005817,765.8,12,0,0.469,1,0.112,0.064,0
C005818,244.73,6,1,0.587,31,0.18,0.29,1
C005819,537.97,12,3,0.406,42,0.638,0.224,1
C005820,683.33,24,2,0.685,32,0.554,0.608,0
C005821,824.58,12,2,0.386,0,0.897,0.088,1
C005822,272.64,24,0,0.622,24,0.745,0.342,0
C005823,1732.86,6,2,0.629,9,0.815,0.308,0
C005824,412.6,12,0,0.812,26,0.28,0.049,0
C005825,174.24,12,3,0.371,12,0.208,0.43,1
C005826,609.59,12,4,0.19,22,0.444,0.181,1
C005827,683.69,24,2,0.198,6,0.49,0.168,0
C005828,756.33,36,4,0.892,3,0.636,0.275,0
C005829,1977.73,6,4,0.84,50,0.183,0.352,1
C005830,550.51,6,4,0.611,25,0.476,0.22,0
C005831,604.44,6,2,0.651,57,0.711,0.13,1
C005832,275.19,12,3,0.466,32,0.164,0.118,0
C005833,1282.34,12,0,0.138,5,0.471,0.221,1
C005834,770.81,24,4,0.579,24,0.29,0.322,1
C005835,475.32,12,2,0.285,16,0.578,0.199,0
C005836,144.93,12,4,0.848,6,0.283,0.336,0
C005837,2112.29,24,1,0.603,40,0.068,0.21,0
C005838,249.1,12,4,0.355,30,0.349,0.414,0
C005839,414.46,12,3,0.731,2,0.559,0.139,0
C005840,885.96,3,3,0.259,16,0.02,0.224,1
C005841,255.38,12,4,0.494,29,0.645,0.083,0
C005842,201.38,12,1,0.781,3,0.368,0.364,1
C005843,121.61,12,3,0.811,96,0.194,0.238,0
C005844,1184.17,36,5,0.218,18,0.46,0.158,0
C005845,430.03,36,3,0.256,39,0.594,0.644,0
C005846,6917.54,24,3,0.508,15,0.13,0.101,1
C005847,300.22,12,4,0.435,7,0.273,0.203,0
C005848,318.25,24,2,0.775,36,0.699,0.379,0
C005849,423.13,12,4,0.695,11,0.289,0.184,1
C005850,807.96,6,7,0.761,17,0.211,0.425,0
C005851,456.61,12,2,0.494,17,0.052,0.358,0
C005852,1085.58,3,3,0.585,1,0.255,0.48,0
C005853,304.03,12,2,0.183,8,0.208,0.391,0
C005854,220.24,12,2,0.173,8,0.291,0.311,0
C005855,157.82,36,2,0.583,0,0.782,0.225,0
C005856,112.3,12,2,0.489,2,0.606,0.235,0
C005857,439.46,36,2,0.53,16,0.38,0.592,1
C005858,522.81,6,4,0.413,7,0.416,0.205,1
C005859,401.36,6,2,0.441,13,0.541,0.254,0
C005860,1798.53,12,0,0.784,13,0.688,0.271,0
C005861,1776.54,12,1,0.638,21,0.29,0.324,0
C005862,508.85,3,2,0.334,37,0.501,0.129,0
C005863,158.36,6,7,0.155,5,0.171,0.064,0
C005864,422.69,12,3,0.148,8,0.055,0.171,1
C005865,411.64,12,1,0.422,16,0.494,0.182,0
C005866,393.19,24,3,0.344,27,0.676,0.118,0
C005867,380.63,12,4,0.577,9,0.594,0.202,1
C005868,394.35,6,5,0.454,6,0.632,0.279,0
C005869,488.22,24,3,0.274,22,0.263,0.389,1
C005870,400.04,6,3,0.594,21,0.307,0.104,1
C005871,785.77,24,2,0.477,28,0.468,0.49,0
C005872,887.4,24,0,0.161,13,0.368,0.334,1
C005873,321.01,36,1,0.401,1,0.137,0.325,0
C005874,1838.77,12,3,0.534,17,0.742,0.241,1
C005875,303.67,12,2,0.55,7,0.276,0.38,0
C005876,182.32,12,4,0.295,123,0.248,0.159,1
C005877,902.01,12,0,0.446,17,0.387,0.117,0
C005878,345.87,12,4,0.07,11,0.409,0.137,0
C005879,860.09,12,4,0.629,28,0.18,0.109,0
C005880,97.23,24,3,0.348,76,0.071,0.484,1
C005881,2026.3,3,4,0.886,13,0.813,0.337,0
C005882,1138.92,24,3,0.418,8,0.387,0.379,0
C005883,200.26,24,0,0.076,13,0.659,0.366,1
C005884,203.77,12,1,0.898,23,0.252,0.325,0
C005885,2534.65,12,3,0.538,22,0.162,0.414,0
C005886,368.74,12,5,0.373,27,0.507,0.339,0
C005887,341.26,36,4,0.464,19,0.694,0.282,0
C005888,108.54,6,3,0.414,61,0.68,0.251,1
C005889,502.39,12,3,0.862,9,0.069,0.097,0
C005890,554.37,12,1,0.613,0,0.479,0.451,0
C005891,1178.97,36,3,0.658,3,0.328,0.445,0
C005892,217.18,24,3,0.295,0,0.175,0.221,0
C005893,197.11,12,4,0.344,3,0.799,0.334,0
C005894,954.1,6,5,0.245,4,0.78,0.278,0
C005895,1488.29,12,4,0.663,6,0.051,0.528,0
C005896,189.25,6,2,0.114,0,0.192,0.307,0
C005897,1580.05,24,2,0.668,6,0.476,0.636,0
C005898,685.42,24,2,0.487,3,0.845,0.427,0
C005899,1593.11,24,3,0.507,1,0.417,0.318,0
C005900,628.81,12,7,0.568,17,0.214,0.102,0
C005901,88.43,12,5,0.638,4,0.148,0.05,0
C005902,589.0,6,4,0.615,1,0.024,0.229,0
C005903,1553.27,12,0,0.339,3,0.111,0.064,0
C005904,325.38,6,0,0.544,40,0.265,0.723,1
C005905,487.66,24,6,0.615,15,0.583,0.506,0
C005906,577.72,6,6,0.392,15,0.599,0.466,1
C005907,65.39,24,2,0.123,6,0.103,0.253,0
C005908,2532.79,12,2,0.89,14,0.092,0.357,1
C005909,323.4,12,2,0.543,26,0.152,0.234,0
C005910,996.84,6,3,0.932,18,0.204,0.208,0
C005911,620.57,12,0,0.59,15,0.297,0.14,1
C005912,1819.1,12,0,0.324,9,0.662,0.535,1
C005913,920.43,24,2,0.624,19,0.284,0.17,0
C005914,551.18,6,6,0.316,38,0.198,0.136,1
C005915,325.44,24,4,0.202,4,0.731,0.426,0
C005916,1259.26,24,2,0.544,34,0.584,0.253,0
C005917,148.6,6,1,0.325,13,0.474,0.496,1
C005918,1115.11,24,4,0.364,77,0.02,0.342,1
C005919,276.1,12,5,0.079,6,0.208,0.357,0
C005920,1811.35,24,1,0.739,2,0.423,0.06,0
C005921,756.76,6,3,0.865,3,0.715,0.293,0
C005922,1113.54,6,2,0.904,0,0.668,0.154,0
C005923,710.23,6,4,0.317,9,0.068,0.267,0
C005924,163.71,12,5,0.137,7,0.396,0.26,0
C005925,334.09,24,5,0.486,20,0.738,0.364,1
C005926,1139.01,24,0,0.354,3,0.531,0.068,0
C005927,760.0,36,5,0.163,28,0.803,0.253,0
C005928,1710.93,3,1,0.197,7,0.528,0.106,0
C005929,918.39,3,1,0.081,41,0.352,0.111,1
C005930,306.94,12,5,0.844,4,0.6,0.418,1
C005931,351.83,6,2,0.439,31,0.389,0.208,1
C005932,722.22,12,1,0.545,4,0.37,0.22,0
C005933,104.46,12,3,0.654,0,0.715,0.267,1
C005934,2537.04,6,1,0.437,1,0.587,0.216,0
C005935,947.09,12,4,0.399,33,0.526,0.18,0
C005936,1775.13,12,3,0.783,15,0.259,0.223,0
C005937,187.83,12,0,0.446,7,0.661,0.337,0
C005938,1800.2,24,2,0.491,20,0.614,0.408,0
C005939,3964.75,6,3,0.809,9,0.573,0.227,0
C005940,231.2,36,1,0.654,34,0.828,0.277,0
C005941,1232.9,12,3,0.808,27,0.138,0.252,0
C005942,665.73,36,6,0.221,12,0.305,0.329,0
C005943,193.34,6,2,0.53,0,0.149,0.434,0
C005944,986.64,12,2,0.163,14,0.164,0.096,0
C005945,1295.8,12,2,0.489,9,0.617,0.609,0
C005946,411.21,24,3,0.973,18,0.561,0.144,0
C005947,1690.42,12,4,0.21,3,0.215,0.105,1
C005948,175.32,12,8,0.552,21,0.307,0.478,0
C005949,201.18,36,6,0.887,4,0.341,0.177,0
C005950,741.95,12,6,0.338,78,0.319,0.239,1
C005951,678.79,6,2,0.1,34,0.366,0.211,1
C005952,374.93,12,6,0.796,3,0.174,0.25,0
C005953,1271.15,12,3,0.755,15,0.58,0.528,1
C005954,1017.1,12,5,0.364,12,0.454,0.048,1
C005955,1321.48,12,3,0.094,33,0.295,0.273,1
C005956,602.74,36,1,0.462,26,0.328,0.532,0
C005957,1077.14,24,2,0.406,7,0.543,0.529,0
C005958,465.67,6,4,0.471,9,0.588,0.17,0
C005959,3439.41,6,4,0.254,1,0.59,0.139,1
C005960,347.22,36,1,0.342,16,0.351,0.194,0
C005961,3584.01,24,5,0.437,28,0.349,0.239,0
C005962,683.97,36,0,0.867,10,0.241,0.247,0
C005963,221.32,12,1,0.32,58,0.222,0.305,1
